match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,venue_id,umpire1,umpire2
2011_57,2011,Bangalore,14/05/11,KKR,RCB,RCB,field,normal,1,RCB,0,4,Chris Gayle,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,RE Koertzen,RB Tiffin
2011_58,2011,Mumbai,14/05/11,DC,MI,DC,bat,normal,0,DC,10,0,Amit Mishra,"Wankhede Stadium, Mumbai, Maharashtra",1,S Ravi,SK Tarapore
2011_59,2011,Dharamsala,15/05/11,KXI,DD,DD,field,normal,0,KXI,29,0,Piyush Chawla,Himachal Pradesh Cricket Association Stadium,23,Asad Rauf,SL Shastri
2011_60,2011,Indore,15/05/11,RR,KTK,KTK,field,normal,0,KTK,0,8,Brad Hodge,"Holkar Stadium Cricket Stadium, Indore, Madhya Pradesh",8,PR Reiffel,RJ Tucker
2011_61,2011,Mumbai,16/05/11,PW,DC,DC,field,normal,0,DC,0,6,Amit Mishra,Dr DY Patil Sports Academy,10,S Ravi,SK Tarapore
2011_62,2011,Dharamsala,17/05/11,KXI,RCB,KXI,bat,normal,0,KXI,111,0,Adam Gilchrist,Himachal Pradesh Cricket Association Stadium,23,Asad Rauf,AM Saheba
2011_63,2011,Chennai,18/05/11,CSK,KTK,CSK,bat,normal,0,CSK,11,0,Wriddhiman Saha,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,HDPK Dharmasena,RE Koertzen
2011_64,2011,Mumbai,19/05/11,PW,KKR,KKR,field,normal,0,KKR,0,7,Yusuf Pathan,Dr DY Patil Sports Academy,10,S Ravi,SJA Taufel
2011_65,2011,Mumbai,20/05/11,MI,RR,MI,bat,normal,0,RR,0,10,Shane Watson,"Wankhede Stadium, Mumbai, Maharashtra",1,RE Koertzen,PR Reiffel
2011_66,2011,Dharamsala,21/05/11,DC,KXI,KXI,field,normal,0,DC,82,0,Shikhar Dhawan,Himachal Pradesh Cricket Association Stadium,23,Asad Rauf,AM Saheba
2011_67,2011,Delhi,21/05/11,DD,PW,DD,bat,no result,0,,0,0,,"Feroz Shah Kotla Stadium, Delhi",2,SS Hazare,RJ Tucker
2011_68,2011,Bangalore,22/05/11,CSK,RCB,RCB,field,normal,0,RCB,0,8,Chris Gayle,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,K Hariharan,RE Koertzen
2011_69,2011,Kolkata,22/05/11,KKR,MI,MI,field,normal,0,MI,0,5,James Franklin,"Eden Garden Stadium, Kolkata, West Bengal",3,SK Tarapore,SJA Taufel
2011_70,2011,Mumbai,24/05/11,RCB,CSK,CSK,field,normal,0,CSK,0,6,Suresh Raina,"Wankhede Stadium, Mumbai, Maharashtra",1,Asad Rauf,SJA Taufel
2011_71,2011,Mumbai,25/05/11,KKR,MI,MI,field,normal,0,MI,0,4,Munaf Patel,"Wankhede Stadium, Mumbai, Maharashtra",1,Asad Rauf,SJA Taufel
2011_72,2011,Chennai,27/05/11,RCB,MI,MI,field,normal,0,RCB,43,0,Chris Gayle,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,Asad Rauf,SJA Taufel
2011_73,2011,Chennai,28/05/11,CSK,RCB,CSK,bat,normal,0,CSK,58,0,Murali Vijay,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,Asad Rauf,SJA Taufel
2012_1,2012,Chennai,04/04/12,CSK,MI,MI,field,normal,0,MI,0,8,Richard Levi,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,JD Cloete,SJA Taufel
2012_2,2012,Kolkata,05/04/12,KKR,DD,DD,field,normal,0,DD,0,8,Irfan Pathan,"Eden Garden Stadium, Kolkata, West Bengal",3,S Asnani,HDPK Dharmasena
2012_3,2012,Mumbai,06/04/12,PW,MI,MI,field,normal,0,PW,28,0,Steven Smith,"Wankhede Stadium, Mumbai, Maharashtra",1,AK Chaudhary,SJA Taufel
2012_4,2012,Jaipur,06/04/12,RR,KXI,KXI,field,normal,0,RR,31,0,Ajinkya Rahane,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,BF Bowden,SK Tarapore
2012_5,2012,Bangalore,07/04/12,RCB,DD,DD,field,normal,0,RCB,20,0,AB De Villiers,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,S Asnani,S Ravi
2012_6,2012,Visakhapatnam,07/04/12,CSK,DC,DC,field,normal,0,CSK,74,0,Ravindra Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,25,JD Cloete,HDPK Dharmasena
2012_7,2012,Jaipur,08/04/12,RR,KKR,KKR,field,normal,0,RR,22,0,Brad Hodge,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,BF Bowden,VA Kulkarni
2012_8,2012,Pune,08/04/12,PW,KXI,PW,bat,normal,0,PW,22,0,Marlon Samuels,Subrata Roy Sahara Stadium,26,S Das,SJA Taufel
2012_9,2012,Visakhapatnam,09/04/12,DC,MI,DC,bat,normal,0,MI,0,5,Rohit Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,25,AK Chaudhary,JD Cloete
2012_10,2012,Bangalore,10/04/12,KKR,RCB,RCB,field,normal,0,KKR,42,0,Lakshmipathy Balaji,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,S Ravi,RJ Tucker
2012_11,2012,Delhi,10/04/12,CSK,DD,DD,field,normal,0,DD,0,8,Morne Morkel,"Feroz Shah Kotla Stadium, Delhi",2,Asad Rauf,SK Tarapore
2012_12,2012,Mumbai,11/04/12,MI,RR,RR,field,normal,0,MI,27,0,Kieron Pollard,"Wankhede Stadium, Mumbai, Maharashtra",1,Aleem Dar,BNJ Oxenford
2012_13,2012,Chennai,12/04/12,RCB,CSK,RCB,bat,normal,0,CSK,0,5,Faf du Plessis,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,HDPK Dharmasena,RJ Tucker
2012_14,2012,Chandigarh,12/04/12,PW,KXI,KXI,field,normal,0,KXI,0,7,Dimitri Mascarenhas,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,VA Kulkarni,SK Tarapore
2012_15,2012,Kolkata,13/04/12,RR,KKR,RR,bat,normal,0,KKR,0,5,Shakib Al Hasan,"Eden Garden Stadium, Kolkata, West Bengal",3,Asad Rauf,S Asnani
2012_16,2012,Delhi,19/04/12,DC,DD,DC,bat,normal,0,DD,0,5,Kevin Pietersen,"Feroz Shah Kotla Stadium, Delhi",2,BF Bowden,SK Tarapore
2012_17,2012,Pune,14/04/12,CSK,PW,CSK,bat,normal,0,PW,0,7,Jesse Ryder,Subrata Roy Sahara Stadium,26,Aleem Dar,BNJ Oxenford
2012_18,2012,Kolkata,15/04/12,KXI,KKR,KKR,field,normal,0,KXI,2,0,Sunil Narine,"Eden Garden Stadium, Kolkata, West Bengal",3,Asad Rauf,S Asnani
2012_19,2012,Bangalore,15/04/12,RR,RCB,RR,bat,normal,0,RR,59,0,Ajinkya Rahane,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,JD Cloete,RJ Tucker
2012_20,2012,Mumbai,16/04/12,MI,DD,DD,field,normal,0,DD,0,7,Shahbaz Nadeem,"Wankhede Stadium, Mumbai, Maharashtra",1,BF Bowden,SK Tarapore
2012_21,2012,Jaipur,17/04/12,DC,RR,DC,bat,normal,0,RR,0,5,Brad Hodge,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,Aleem Dar,BNJ Oxenford
2012_22,2012,Bangalore,17/04/12,PW,RCB,PW,bat,normal,0,RCB,0,6,Chris Gayle,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,S Asnani,S Das
2012_23,2012,Chandigarh,18/04/12,KXI,KKR,KXI,bat,normal,0,KKR,0,8,Gautam Gambhir,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,JD Cloete,RJ Tucker
2012_24,2012,Hyderabad,10/05/12,DC,DD,DC,bat,normal,0,DD,0,9,David Warner,"Rajiv Gandhi International Stadium, Hyderabad",4,JD Cloete,SJA Taufel
2012_25,2012,Chennai,19/04/12,CSK,PW,PW,field,normal,0,CSK,13,0,Nuwan Kulasekara,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,Asad Rauf,S Das
2012_26,2012,Chandigarh,20/04/12,KXI,RCB,RCB,field,normal,0,RCB,0,5,Chris Gayle,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,S Ravi,RJ Tucker
2012_27,2012,Chennai,21/04/12,RR,CSK,RR,bat,normal,0,CSK,0,7,Faf du Plessis,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,Aleem Dar,BNJ Oxenford
2012_28,2012,Delhi,21/04/12,PW,DD,DD,field,normal,0,PW,20,0,Sourav Ganguly,"Feroz Shah Kotla Stadium, Delhi",2,Asad Rauf,S Das
